date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:04	5273/5273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:28%20GMT	https://noticiasde2024.fun/robots.txt		(from )
18:01:05	20374/20374	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2008:24:46%20GMT	https://noticiasde2024.fun/quiz/	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/quiz/index.html	(from )
18:01:06	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2265f7ca56-6df3%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/bootstrap.min.css	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/bootstrap.min.css	(from https://noticiasde2024.fun/quiz/)
18:01:06	8361/8361	---M-Z	200	added ('OK')	text/css	etag:%2265f7ca51-5e7%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/style.css	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/style.css	(from https://noticiasde2024.fun/quiz/)
18:01:07	103621/103621	---M-Z	200	added ('OK')	text/css	etag:%2265f7ca53-50b7%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/all.min.css	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/all.min.css	(from https://noticiasde2024.fun/quiz/)
18:01:07	87995/87995	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca56-736d%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/jquery-3.7.1.min.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/jquery-3.7.1.min.js	(from https://noticiasde2024.fun/quiz/)
18:01:07	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-59eb%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/bootstrap.bundle.min.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/bootstrap.bundle.min.js	(from https://noticiasde2024.fun/quiz/)
18:01:07	221258/221258	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Mar%202024%2021:01:31%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Administrador/Desktop/C1/qzm/connect.facebook.net/en_US/fbevents.js	(from https://noticiasde2024.fun/quiz/)
18:01:08	14578/14578	---M--	200	added ('OK')	image/png	etag:%2245cf3e521964669e395063527f394e27%22	https://i.pinimg.com/originals/cb/20/45/cb2045efc29d7aca6352418d386e2a72.png	C:/Users/Administrador/Desktop/C1/qzm/i.pinimg.com/originals/cb/20/45/cb2045efc29d7aca6352418d386e2a72.png	(from https://noticiasde2024.fun/quiz/)
18:01:08	62013/62013	---M--	200	added ('OK')	image/jpeg	etag:%2265f7c38f-f23d%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/ee_ee_Refrigerator_IF45S_Environment_Square_Electrolux_Portuguese-1000x1000-7.jpg	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/ee_ee_Refrigerator_IF45S_Environment_Square_Electrolux_Portuguese-1000x1000-7.jpg	(from https://noticiasde2024.fun/quiz/)
18:01:08	74665/74665	---M--	200	added ('OK')	image/jpeg	etag:%2265f7c38f-123a9%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/Refrigerator_IM8S_Environment_Square_Electrolux_Portuguese.jpg	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/Refrigerator_IM8S_Environment_Square_Electrolux_Portuguese.jpg	(from https://noticiasde2024.fun/quiz/)
18:01:09	125937/125937	---M--	200	added ('OK')	image/jpeg	etag:%2265f7c38f-1ebf1%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/aspirador-smart-electrolux-main-02.jpg	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/aspirador-smart-electrolux-main-02.jpg	(from https://noticiasde2024.fun/quiz/)
18:01:09	15624/15624	---M--	200	added ('OK')	image/jpeg	etag:%2265f7c38f-3d08%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/5868_purificador-de-ar-electrolux-pr10e-com-3-niveis-de-intensidade_m2_636173964695556000.jpg	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/5868_purificador-de-ar-electrolux-pr10e-com-3-niveis-de-intensidade_m2_636173964695556000.jpg	(from https://noticiasde2024.fun/quiz/)
18:01:09	77594/77594	---M--	200	added ('OK')	image/jpeg	etag:%2265f7c38f-12f1a%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/03115114749128.jpg	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/03115114749128.jpg	(from https://noticiasde2024.fun/quiz/)
18:01:09	121122/121122	---M--	200	added ('OK')	image/png	etag:%2265f7c38f-1d922%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/CUPOM-DE-DESCONTO.png	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/CUPOM-DE-DESCONTO.png	(from https://noticiasde2024.fun/quiz/)
18:01:09	597/597	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-cf%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/hideAllExcept.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/hideAllExcept.js	(from https://noticiasde2024.fun/quiz/)
